id,value
flare,
flare.MS,
flare.MS.CLASICO,1295102000
flare.MS.RESTO_CLIENTE,35865800
flare.NO_PH,
flare.NO_PH.CLASICO,1086389400
flare.NO_PH.RESTO_CLIENTE,398171900
flare.NO_CLIENTE,
flare.NO_CLIENTE.CLASICO,32362000
flare.NO_CLIENTE.NO_CLIENTE,3493359400
flare.PREMIUM,
flare.PREMIUM.PREMIUM,52919700
flare.VIP,
flare.VIP.VIP,52919700
